Sun Sep 13 05:35:43 Mongo DB : starting : pid = 3215 port = 27017 dbpath = data master = 0 slave = 0  32-bit 

** NOTE: when using MongoDB 32 bit, you are limited to about 2 gigabytes of data
**       see http://blog.mongodb.org/post/137788967/32-bit-limitations for more

Sun Sep 13 05:38:36 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:36 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:36 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:36 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:36 insert netbeams.SondeDataContainer 466ms
Sun Sep 13 05:38:36 insert netbeams.SondeDataContainer 331ms
Sun Sep 13 05:38:37 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:37 insert netbeams.SondeDataContainer 151ms
Sun Sep 13 05:38:37 insert netbeams.SondeDataContainer 178ms
Sun Sep 13 05:38:37 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:37 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:37 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:37 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:37 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:38 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:38 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:38 insert netbeams.SondeDataContainer 166ms
Sun Sep 13 05:38:38 insert netbeams.SondeDataContainer 154ms
Sun Sep 13 05:38:38 insert netbeams.SondeDataContainer 134ms
Sun Sep 13 05:38:38 insert netbeams.SondeDataContainer 153ms
Sun Sep 13 05:38:38 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:39 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:39 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:39 insert netbeams.SondeDataContainer 154ms
Sun Sep 13 05:38:39 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:39 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:39 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:39 insert netbeams.SondeDataContainer 473ms
Sun Sep 13 05:38:40 insert netbeams.SondeDataContainer 303ms
Sun Sep 13 05:38:40 insert netbeams.SondeDataContainer 1665ms
Sun Sep 13 05:38:41 insert netbeams.SondeDataContainer 429ms
Sun Sep 13 05:38:42 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:42 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:42 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:42 done allocating datafile data/netbeams.2, size: 268435456, took 8.743 secs
Sun Sep 13 05:38:42 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:42 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:42 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:42 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:42 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:42 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:42 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:43 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:44 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:45 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:46 insert netbeams.SondeDataContainer 0ms
